Po;G_0;Log10(G_0);;G_max_strong1;G_max_strong1/G_0;log10(G_max_strong1/G_0);;G_max_strong2;G_max_strong2/G_0;log10(G_max_strong2/G_0);;G_max_low1;G_max_low1/G_0;log10(G_max_low1/G_0);;G_max_low2;G_max_low2/G_0;log10(G_max_low2/G_0)
0,027110495;13,55524743;1,132107449;;83,89304591;6,188971937;0,791618513;;232,6334974;17,16187762;1,234564801;;88,82811403;6,553042614;0,816442992;;248,0045512;18,29583359;1,262352202
0,048254915;24,12745743;1,382511558;;119,7676401;4,963956124;0,695827934;;331,4803643;13,73871927;1,137946249;;73,46460803;3,044854944;0,483566608;;182,6791899;7,571423159;0,879177519
0,014793244;7,39662198;0,869033424;;150,6422853;20,36636261;1,308913472;;445,8683133;60,27999194;1,780173186;;26,24215326;3,547856485;0,549966044;;65,08236116;8,798930286;0,944429877
0,017859752;8,929875867;0,950845422;;88,30499291;9,888714493;0,995139838;;252,9357561;28,32466653;1,452164806;;56,11076186;6,283487329;0,798200744;;153,9679438;17,24189071;1,236584888
0,005859366;2,929683043;0,466820637;;133,051887;45,41511321;1,657200401;;396,3821924;135,2986608;2,131293498;;93,46401934;31,90243381;1,503823816;;276,679748;94,44016434;1,975156734
0,011227826;5,613912767;0,74926566;;89,0179183;15,85666219;1,200211774;;259,6577581;46,25254593;1,665135643;;45,68056979;8,137028787;0,910465852;;127,6546655;22,73898274;1,356771032
0,048240752;24,12037592;1,382384072;;189,111543;7,840323206;0,894333966;;554,3307782;22,98184656;1,361384921;;84,91708237;3,520553853;0,546610992;;219,4947511;9,099972235;0,959040067
0,026543456;13,2717279;1,122927469;;57,39429988;4,324553692;0,635941294;;150,5867428;11,34643085;1,054859271;;56,75730787;4,27655753;0,631094319;;148,6043433;11,19706073;1,049104034
0,017174707;8,587353607;0,933859346;;93,94020262;10,93936583;1,038992146;;270,7181186;31,52520916;1,498657977;;56,25042878;6,550379937;0,816266491;;154,967451;18,0460079;1,256381143
0,008166841;4,083420585;0,611024114;;184,8132092;45,25941068;1,655708895;;552,2747873;135,2480784;2,131131103;;44,66179886;10,93734969;1,038912098;;127,1661554;31,14206649;1,493347428
0,01907246;9,536230169;0,979376725;;107,1740838;11,23862175;1,050713055;;310,1939683;32,52794478;1,512256624;;58,23985525;6,107219962;0,785843562;;159,5100489;16,72674066;1,223411323
0,008656373;4,328186449;0,636305961;;78,94534073;18,23981976;1,261020543;;230,8088231;53,32691322;1,726946446;;49,32294593;11,39575351;1,056743047;;140,8978784;32,55356027;1,512598493
0,019988495;9,994247578;0,999750104;;56,02231309;5,605455803;0,748610933;;151,9118179;15,19992543;1,181841457;;31,96465705;3,198305506;0,504919946;;77,73524641;7,777998874;0,890867876
0,029895267;14,94763373;1,174572448;;203,4214003;13,60893664;1,133824192;;604,3400755;40,43048462;1,606708947;;112,9535335;7,556616354;0,878327374;;321,4302685;21,503756;1,332514324
0,00530855;2,6542749;0,4239459;;123,2407662;46,43104836;1,66680849;;367,0017839;138,2681891;2,140722275;;31,78835991;11,97628773;1,078322221;;90,68180752;34,16443697;1,533574268
0,016679906;8,339953211;0,921163614;;63,51299023;7,615509179;0,881698946;;177,6672283;21,30314449;1,328443713;;126,208282;15,13297243;1,179924241;;370,0804703;44,37440606;1,647132553
0,083325928;41,66296396;1,619750163;;173,4954237;4,164260225;0,619537861;;489,8877037;11,7583498;1,070346376;;134,6804886;3,232618994;0,50955452;;357,9185803;8,59080935;0,934034081
0,005403157;2,701578398;0,431617575;;135,5666779;50,18054555;1,700535379;;404,1998107;149,6161692;2,174978531;;85,47859188;31,64024111;1,500239784;;252,8411916;93,59017372;1,971230253
0,014982997;7,491498611;0,874568703;;114,3752703;15,26734185;1,18376343;;334,7464553;44,6835103;1,650147284;;51,02254764;6,810726436;0,833193436;;140,7741415;18,79118568;1,273954184
0,013152541;6,576270422;0,817979663;;151,8507308;23,0907066;1,363437223;;450,2490436;68,46571304;1,835473136;;30,02871771;4,56622307;0,659557124;;78,20078239;11,89135747;1,075231435
0,026648792;13,324396;1,124647531;;54,01755975;4,054034402;0,60788743;;139,985786;10,50597611;1,021436409;;49,64125205;3,725591169;0,571195195;;126,364107;9,483664926;0,976976201
0,032826713;16,41335636;1,215197399;;82,7967751;5,044475565;0,702816023;;224,8926966;13,70181038;1,136777953;;114,4827914;6,974977505;0,843542811;;324,4036874;19,7646161;1,295888383
0,037920967;18,96048325;1,277849402;;167,1245595;8,814361812;0,945190873;;487,7711709;25,72567188;1,410366726;;102,2194146;5,391181925;0,731683987;;282,4027281;14,89427903;1,173019486
0,029865597;14,93279851;1,174141205;;141,8380965;9,498427002;0,977651689;;411,7721776;27,57501733;1,440515794;;72,22646019;4,836766542;0,684555126;;194,0930186;12,99776586;1,113868709
0,018557667;9,278833673;0,96749339;;201,8361335;21,75231722;1,337505528;;601,7953533;64,85678853;1,81195544;;71,48742808;7,704354944;0,886736283;;200,7003996;21,62991672;1,335054847
0,012669883;6,334941586;0,801742615;;78,74340606;12,43001297;1,094471582;;227,3253672;35,88436674;1,554905287;;70,30640545;11,09819317;1,04525228;;201,5756656;31,81965655;1,502695488
0,03141034;15,70517015;1,196042646;;87,01714641;5,540668809;0,743562191;;239,2014185;15,23074352;1,182721105;;117,3241471;7,470415537;0,87334476;;334,1854774;21,27869193;1,327944927
0,048558702;24,27935086;1,385237071;;42,96796005;1,769732655;0,247907664;;84,36561078;3,474788566;0,540928384;;43,52339835;1,792609637;0,253485727;;86,15141567;3,548340982;0,550025347
0,012700202;6,350101201;0,802780647;;61,55084091;9,692891335;0,986453344;;174,8296479;27,53178923;1,439834436;;54,81470123;8,632098843;0,936116405;;154,2701089;24,29411816;1,385501139
0,021080519;10,5402597;1,022851311;;80,09255249;7,598726673;0,880740823;;225,3200816;21,37709013;1,329948588;;39,98666512;3,793707771;0,579063874;;101,4717511;9,627063657;0,983493844
